name,peak,rms,dc
Soft-Exhale-45-20-synth,0.165025,0.0331487,1.22778e-06
Soft-Exhale-45-20-source,0.203463,0.0464732,4.51825e-11
Soft-Exhale-45-60-synth,0.260948,0.0585325,5.7593e-06
Soft-Exhale-45-60-source,0.247062,0.0564308,-1.56724e-10
Soft-Exhale-45-100-synth,0.365561,0.0897574,1.69399e-05
Soft-Exhale-45-100-source,0.290661,0.0663898,-2.25944e-10
Soft-Exhale-60-20-synth,0.161168,0.0390925,1.55207e-06
Soft-Exhale-60-20-source,0.211078,0.0473676,5.24566e-13
Soft-Exhale-60-60-synth,0.263335,0.0659557,8.03782e-06
Soft-Exhale-60-60-source,0.256309,0.0575169,-2.51856e-12
Soft-Exhale-60-100-synth,0.388536,0.0983101,2.2685e-05
Soft-Exhale-60-100-source,0.30154,0.0676675,-1.24411e-10
Soft-Exhale-81-20-synth,0.201335,0.0477529,2.99215e-06
Soft-Exhale-81-20-source,0.213862,0.04815,-2.63327e-11
Soft-Exhale-81-60-synth,0.330964,0.0775194,1.56605e-05
Soft-Exhale-81-60-source,0.259689,0.058467,-9.58603e-11
Soft-Exhale-81-100-synth,0.461572,0.110735,4.26695e-05
Soft-Exhale-81-100-source,0.305517,0.0687853,-4.62975e-11
Focused-Jet-45-20-synth,0.107744,0.0224621,2.80785e-07
Focused-Jet-45-20-source,0.192346,0.0396813,1.45729e-10
Focused-Jet-45-60-synth,0.193487,0.0416348,1.7929e-06
Focused-Jet-45-60-source,0.233559,0.0481837,-1.59906e-11
Focused-Jet-45-100-synth,0.301129,0.0664398,7.07435e-06
Focused-Jet-45-100-source,0.274777,0.0566872,1.72082e-10
Focused-Jet-60-20-synth,0.115296,0.0252607,3.12392e-07
Focused-Jet-60-20-source,0.19536,0.0414897,-9.96122e-11
Focused-Jet-60-60-synth,0.195479,0.045027,2.22846e-06
Focused-Jet-60-60-source,0.237218,0.0503796,3.60126e-11
Focused-Jet-60-100-synth,0.288137,0.0694656,8.27153e-06
Focused-Jet-60-100-source,0.279082,0.0592707,1.25984e-11
Focused-Jet-81-20-synth,0.165594,0.0333315,7.07095e-07
Focused-Jet-81-20-source,0.206967,0.0434646,1.85897e-11
Focused-Jet-81-60-synth,0.262037,0.0563109,4.6972e-06
Focused-Jet-81-60-source,0.251312,0.0527777,6.93921e-11
Focused-Jet-81-100-synth,0.365432,0.0831993,1.48173e-05
Focused-Jet-81-100-source,0.295663,0.0620919,-3.99255e-11
Whisper-45-20-synth,0.11334,0.0231111,3.70309e-07
Whisper-45-20-source,0.186099,0.0407123,-4.27331e-11
Whisper-45-60-synth,0.199403,0.0428775,2.31998e-06
Whisper-45-60-source,0.225973,0.0494356,2.3592e-11
Whisper-45-100-synth,0.297838,0.0683526,8.46666e-06
Whisper-45-100-source,0.265852,0.05816,-1.29576e-10
Whisper-60-20-synth,0.124088,0.0285902,2.24611e-07
Whisper-60-20-source,0.187053,0.0421728,-4.20143e-11
Whisper-60-60-synth,0.207145,0.0503631,2.56708e-06
Whisper-60-60-source,0.227136,0.051209,4.40604e-11
Whisper-60-100-synth,0.310333,0.0769971,1.0529e-05
Whisper-60-100-source,0.267219,0.0602463,-7.72707e-11
Whisper-81-20-synth,0.176176,0.0418609,1.95175e-06
Whisper-81-20-source,0.197578,0.0436405,-2.05197e-10
Whisper-81-60-synth,0.283926,0.0685415,1.02665e-05
Whisper-81-60-source,0.239911,0.0529911,8.88476e-11
Whisper-81-100-synth,0.388627,0.0986554,2.8113e-05
Whisper-81-100-source,0.282251,0.062343,1.87251e-12
Rough-Air-45-20-synth,0.213876,0.0399332,2.79237e-06
Rough-Air-45-20-source,0.3422,0.06211,3.28526e-10
Rough-Air-45-60-synth,0.350707,0.0690141,1.05855e-05
Rough-Air-45-60-source,0.41552,0.0754183,-1.24409e-10
Rough-Air-45-100-synth,0.512776,0.104644,2.56862e-05
Rough-Air-45-100-source,0.488851,0.0887282,2.43121e-10
Rough-Air-60-20-synth,0.244298,0.0462462,7.20133e-07
