rate,block,type,max_us,budget_us,allocations,deallocations
44100,17,1,275.1,385.488,0,0
44100,17,2,327.4,385.488,0,0
44100,17,3,619.1,385.488,0,0
44100,17,4,156.6,385.488,0,0
44100,64,1,346.2,1451.25,0,0
44100,64,2,4346.6,1451.25,0,0
44100,64,3,1987.5,1451.25,0,0
44100,64,4,789,1451.25,0,0
44100,256,1,587.9,5804.99,0,0
44100,256,2,476.2,5804.99,0,0
44100,256,3,1256.7,5804.99,0,0
44100,256,4,2523.6,5804.99,0,0
44100,1024,1,738.1,23220,0,0
44100,1024,2,1558.5,23220,0,0
44100,1024,3,2384.3,23220,0,0
44100,1024,4,9998.9,23220,0,0
48000,17,1,232.5,354.167,0,0
48000,17,2,319.1,354.167,0,0
48000,17,3,611.1,354.167,0,0
48000,17,4,166.2,354.167,0,0
48000,64,1,313.2,1333.33,0,0
48000,64,2,347.3,1333.33,0,0
48000,64,3,1241.2,1333.33,0,0
48000,64,4,520.6,1333.33,0,0
48000,256,1,428.5,5333.33,0,0
48000,256,2,442.4,5333.33,0,0
48000,256,3,1261.4,5333.33,0,0
48000,256,4,2157.9,5333.33,0,0
48000,1024,1,852.3,21333.3,0,0
48000,1024,2,1494.7,21333.3,0,0
48000,1024,3,2595.5,21333.3,0,0
48000,1024,4,12760,21333.3,0,0
96000,17,1,754.8,177.083,0,0
96000,17,2,346,177.083,0,0
96000,17,3,654.4,177.083,0,0
96000,17,4,173,177.083,0,0
96000,64,1,558.3,666.667,0,0
96000,64,2,422,666.667,0,0
96000,64,3,1227.3,666.667,0,0
96000,64,4,547.7,666.667,0,0
96000,256,1,615.9,2666.67,0,0
96000,256,2,478.6,2666.67,0,0
96000,256,3,1689.8,2666.67,0,0
96000,256,4,1929.4,2666.67,0,0
96000,1024,1,1171.3,10666.7,0,0
96000,1024,2,1581.3,10666.7,0,0
96000,1024,3,2809.2,10666.7,0,0
96000,1024,4,9729.6,10666.7,0,0
