name,peak,rms,dc,description
demo-resdelay-dry,0.285546,0.0262435,2.9315e-06,"Dry short note"
demo-resdelay-ordinary,0.14494,0.0154126,7.08672e-07,"375ms delay, 50% mix, 50% feedback"
demo-resdelay-wet-highfb,0.191823,0.016184,2.45345e-06,"375ms delay, 100% wet, 85% feedback"
demo-shimmer-dry,0.285546,0.0327579,2.7106e-06,"Dry note 60"
demo-shimmer-ordinary,0.173629,0.0167885,3.06388e-07,"Shimmer 50% mix, 60% feedback, +12st"
demo-shimmer-wet-highfb,0.0702566,0.00754875,-2.73588e-08,"Shimmer 100% wet, 85% feedback, +12st tail"
demo-twosine-unison-mix,0.45873,0.275217,0.000287045,"Unison Crossfade (plain sum)"
demo-twosine-unison-fm-07,0.473532,0.223725,-0.000111511,"Unison FM (interaction 0.7)"
demo-twosine-unison-sync-04,0.50866,0.269262,0.000405366,"Unison Hard Sync (interaction 0.4)"
demo-twosine-unison-sync-08,0.482281,0.227403,0.000357354,"Unison Hard Sync (interaction 0.8)"
demo-twosine-unison-minmax-05,0.459043,0.275308,0.000293648,"Unison Min/Max (interaction 0.5)"
demo-twosine-fifth-mix,0.435514,0.215231,9.16158e-05,"Fifth (C4+G4) Crossfade"
demo-twosine-fifth-fm-07,0.490978,0.201939,4.04251e-05,"Fifth (C4+G4) FM (interaction 0.7)"
demo-twosine-fifth-sync-05,0.507545,0.264649,0.000775377,"Fifth (C4+G4) Sync (interaction 0.5)"
demo-twosine-fifth-minmax-05,0.462399,0.219136,-3.30018e-05,"Fifth (C4+G4) Min/Max (interaction 0.5)"
demo-breath-soft-exhale-exposed,0.267617,0.0600546,-2.48178e-11,"Soft Exhale exposed noise (vowel formants)"
demo-breath-flute-air-exposed,0.265841,0.0558607,2.19942e-11,"Flute Air exposed noise (vocal body + edge)"
demo-breath-soft-exhale-synth,0.271625,0.0699749,8.96592e-06,"Soft Exhale initialized synth"
demo-breath-flute-air-synth,0.247332,0.0557942,3.85557e-06,"Flute Air initialized synth"
